Order,Family,Species,Common Name,"Number of eggs, n","Egg mass, W
(g)","Egg mass
S.D.","Egg length, B 
(mm)","Egg length
S.D.","Egg breath, A
(mm)","Egg breath
S.D.","Shell thickness, t 
(mm)","Shell thickness
S.D.","Stiffness, K
(N/mm)","Stiffness
S.D.","Effective Young's modulus, EFEM
(GPa)",Effective Young's modulus S.D.,"Dimensionless number, C","Dimensionless number
S.D."
Anseriformes,Anatidae,Aix galericulata,Mandarin duck,17,45.03,4.23,53.34,2.12,39.43,0.99,0.267,0.031,237.020,39.65,38.859,5.84,15206,2664
,,Aix sponsa ,Wood duck,40,43.91,2.22,51.34,1.72,39.61,0.71,0.254,0.018,186.953,34.94,34.719,3.16,13089,2600
,,Alopochen aegyptiaca,Egyptian goose,22,83.93,8.87,64.31,2.00,48.28,2.30,0.482,0.026,585.510,99.18,41.927,7.17,24768,4751
,,Anas platyrhynchos,Mallard,78,58.75,5.07,60.54,3.00,42.63,2.04,0.302,0.037,214.176,49.27,32.498,5.11,11495,4114
,,Anas platyrhynchos domesticus,Domestic duck,1,65.00,0.00,61.58,0.00,43.78,0.00,0.333,0.000,263.515,0.00,41.000,0.00,12596,0
,,Anser cygnoides domesticus,Domestic goose,5,147.17,7.54,88.38,2.49,56.75,1.32,0.563,0.034,608.632,110.12,37.820,9.68,14976,2455
,,Cairina moschata,Muscovy duck,5,63.65,2.18,58.73,0.66,44.15,0.75,0.303,0.017,218.050,49.63,36.737,6.03,11496,2458
,,Cygnus melancoryphus,Black-necked swan,2,195.40,8.10,90.76,1.83,61.95,0.71,0.568,0.005,454.098,10.55,34.100,0.90,9834,152
Casuariiformes,Casuariidae,Casuarius unappendiculatus,Northern cassowary,2,667.00,31.00,139.87,1.07,92.10,2.67,0.971,0.051,1097.392,84.38,34.600,5.50,9983,805
,,Dromaius novaehollandiae,Emu,28,629.39,58.86,132.49,4.99,91.18,2.53,1.036,0.081,1177.128,162.70,30.970,5.24,11792,1929
Columbiformes,Columbidae,Columba livia domestica ,Domestic pigeon,10,17.74,1.88,39.09,1.92,29.09,1.27,0.169,0.016,81.827,14.52,26.390,3.30,9899,1738
,,Goura victoria ,Victoria crowned-pigeon,2,46.50,0.50,54.54,0.14,40.29,0.17,0.216,0.006,138.847,1.04,36.300,1.20,8889,109
Coraciiformes,Meropidae,Merops philippinus,Blue-tailed bee-eater,26,5.08,0.57,23.36,0.87,20.52,0.77,0.108,0.006,48.921,7.69,32.808,6.30,17448,3020
Galliformes,Cracidae,Crax rubra,Great curassow,5,234.80,5.45,89.45,1.05,68.41,1.04,0.677,0.035,719.173,98.07,37.380,7.20,15985,1849
