Species,Common Name,N,wt. (%),wt. S.D.,n,E_FEM (GPa),E_FEM S.D.
Agapornis fischeri,Fischer’s lovebird,4,84.40,0.94,4,24.60,1.90
Agapornis personatus,Yellow-collared lovebird,1,83.38,0.00,8,24.74,5.97
Anas platyrhynchos,Mallard,18,93.70,1.17,78,32.50,5.11
Antigone antigone,Sarus crane,9,94.71,0.45,2,25.03,2.35
Ara ararauna,Blue and yellow macaw,3,94.64,1.10,12,29.85,3.78
Balearica regulorum,Gray-crowned crane,8,94.53,0.31,14,30.39,6.53
Columba livia,domestica Domestic pigeon,6,94.60,0.29,10,26.39,3.30
Dromaius novaehollandiae,Emu,6,96.53,0.37,28,30.97,5.24
Gallus gallus,domesticus Chicken,4,95.08,0.61,13,30.77,4.35
Merops philippinus,Blue-tailed bee-eater,4,91.15,0.70,26,32.81,6.30
Pavo cristatus,Indian peafowl,10,94.71,1.14,29,34.81,4.39
Phasianus colchicus,Ring-necked pheasant,15,94.11,0.84,30,29.88,4.13
Phoenicopterus chilensis,Chilean flamingo,9,90.99,0.44,14,24.34,4.32
Spheniscus demersus,African penguin,3,92.71,0.38,22,25.64,4.23
Struthio camelus,Ostrich,9,96.46,0.22,7,47.76,4.03
Taeniopygia guttata,Zebra finch,3,83.07,0.56,26,23.28,11.78
